Name,Latitude,Longitude,lfd# Nr#,Stadtteil,Anzahl_beh,ort,Straße,Art,Abfuhrtag,Woche-g-ug,Telefon,Zeitbedarf
Papierkorb 200001364,51.43985191,6.613669116,1329,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001367,51.43922352,6.612006817,1330,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001368,51.43929862,6.613187157,1331,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001369,51.43927817,6.613344317,1332,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001458,51.44030269,6.61153215,1333,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001459,51.44073981,6.611710601,1334,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001460,51.44025827,6.611833563,1335,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001461,51.43910056,6.61367381,1336,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000365,51.44796275,6.61222416,1337,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000778,51.44836231,6.613769447,1338,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000779,51.44860824,6.613355381,1339,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001148,51.44871745,6.613413887,1340,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001149,51.4487892,6.613444565,1341,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001173,51.44765882,6.61305489,1342,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001174,51.44688701,6.612914409,1343,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001175,51.44722849,6.61297719,1344,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001189,51.44379292,6.612312505,1345,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001190,51.44796618,6.61311633,1346,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001192,51.44493017,6.612557927,1347,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001193,51.44536042,6.612650128,1348,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001194,51.44569854,6.612697989,1349,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001195,51.44619718,6.612791028,1350,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000175,51.44997767,6.605461808,1351,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000176,51.44955078,6.605168525,1352,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001376,51.44927074,6.606386919,1353,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000171,51.45125147,6.613664422,1354,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000174,51.44961222,6.6099877,1355,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000382,51.4505582,6.609165519,1356,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000776,51.44916144,6.613333588,1357,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000177,51.45897305,6.610847013,1358,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001346,51.42074101,6.616087044,1359,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001347,51.4213694,6.616382422,1360,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001348,51.42026978,6.615864588,1361,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001349,51.41937157,6.615249021,1362,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001351,51.42040632,6.615305431,1363,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000389,51.4237429,6.613885118,1364,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001343,51.42345599,6.617360003,1365,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001344,51.42369848,6.617463771,1366,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001345,51.42425856,6.617715564,1367,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001350,51.42243834,6.616886174,1368,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001455,51.42651941,6.618494242,1369,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001456,51.42521141,6.618203139,1370,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001457,51.42494839,6.618040865,1371,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001370,51.43079166,6.619127328,1372,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001371,51.42995833,6.619230593,1373,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001452,51.42786152,6.618785346,1374,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001453,51.42886894,6.61900009,1375,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001454,51.42756094,6.618723907,1376,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000386,51.43108193,6.619418012,1377,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001309,51.43777211,6.62100479,1378,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001188,51.44305866,6.613871036,1379,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001356,51.44201025,6.613913784,1380,,1,Moers,,Papierkorb,,,,0.5
